id,autor,comentario,likes,data
UgxfDXpxAyyDDrN2pdd4AaABAg,@mec420,É engraçado voltar aqui e assistir essa piada..,1,2024-10-06T03:11:29Z
UgwTD8z0O6Zl_uxXeKR4AaABAg,@beatrizpironi3466,Quem sao os mediadores?,0,2024-07-01T15:29:19Z
UgzwizHXvoxiXYAHHlN4AaABAg,@LatrellSpencerSincero,Voltando aqui 2 anos depois ( Desgoverno B4NDID0 ) para falar que estamos mais FUDIDOS do que kenga velha,7,2024-06-06T16:18:22Z
Ugzk2t9t0YHfgwWTgXB4AaABAg,@GabrielLucas-gp1rs,"Vim do futuro pra dizer que o governo Lula 3 é um desastre, um governo rejeitado em mais de 50% em quatro regiões do Brasil. A picanha virou abóbora, o arroz de 5kg está em R$ 45, azeite de Oliva em R$ 80, pacote de feijão R$ 18, óleo de soja R$ 19, Gasolina a R$ 6,89, mais de 8 milhões de famílias pobres cortadas do bolsa família, cortes nas verbas da saúde, educação e programa sociais, volta do imposto sindical, volta do DPVAT, volta da interferência política na Petrobrás, sigilo de 100 anos nas viagens de Lula e Janja, recordes na liberação de emendas parlamentares ao Centrão, aumento no número de queimadas e desmatamento na Amazônia e no cerrado, aumento no número de mortes dos povos Yanomamis, aumento de 85% nos casos de feminicidios, aumento da homofobia, surto de dengue, omissão e desrespeito dos seus ministros e do seu governo na tragédia do RS, impostos altíssimos, taxação de sites de compras onlines, caos na segurança pública, greve dos professores, redução do poder de compra da população etc... tudo que o Lula acusou o Bolsonaro nesse debate, quem está fazendo, e está fazendo pior, é o seu governo. A única coisa boa que podemos extrair desse governo, é o fortalecimento da direita bolsonarista.",11,2024-05-04T02:40:23Z
UgxNO94jMvzzPmLuj8t4AaABAg,@joaopaulopereiradearruda9223,Ehh eu gosto de debate e de política,0,2024-04-29T15:43:28Z
UgydeAVjckbAagqXlyl4AaABAg,@joaopaulopereiradearruda9223,Sorayia onça,1,2024-04-29T14:50:30Z
UgzfsOnafUgI_j9LBrN4AaABAg,@joaopaulopereiradearruda9223,Simone linda 2026,0,2024-04-28T22:39:16Z
UgxoOU9dk48uvuOs7qR4AaABAg,@joaopaulopereiradearruda9223,Lula presidente,0,2024-04-28T22:39:02Z
UgyFnhPAuuUuiowvM214AaABAg,@MatheusHyan2024,Matheus Pm,0,2024-04-24T21:17:32Z
Ugwp1mW0LpG8qXvikKV4AaABAg,@MatheusHyan2024,Kalo PB,0,2024-04-24T21:17:07Z
UgxReg8oLaTQc2iUBFJ4AaABAg,@gaara1234mm,"Melhor debate político da TV é o da BANDEIRANTES, totalmente necessário e dinamico, parabéns por sempre estar proporcionando essa qualidade",1,2024-04-22T17:12:25Z
UgwtOfA3MvuNX8dYVsB4AaABAg,@jackelinesilva7808,Infsttritura,1,2024-03-21T02:32:40Z
UgzfziXKOY7_TOL2s894AaABAg,@bucetaboa-y4b,Bolsonaro vc brochou no final do debate na uol,0,2024-03-17T19:23:18Z
UgzZ9i5cRtngPpu_xX14AaABAg,@bucetaboa-y4b,别再删评论了,1,2024-03-17T19:03:56Z
UgxsBox385WIeIPHg8l4AaABAg,@bucetaboa-y4b,Giro gomes,1,2024-03-17T19:03:25Z
UgzpYztp4fmnLuYHSu14AaABAg,@bucetaboa-y4b,Soreia tiro nica,1,2024-03-17T19:03:12Z
Ugzwrc2QZu9LC92rf0l4AaABAg,@bucetaboa-y4b,Felipe ralo,1,2024-03-17T19:02:52Z
Ugx9uBWa9Oho4MAlwg94AaABAg,@bucetaboa-y4b,Parabéns band pelos debates,1,2024-03-17T15:44:26Z
UgxSuifNLXqxfELApOR4AaABAg,@bucetaboa-y4b,Bolsominio,1,2024-03-17T15:43:50Z
UgybW0_sxJ867-qo4L14AaABAg,@bucetaboa-y4b,Parabéns tébete por apoiar o presidente lula,0,2024-03-17T15:43:33Z
UgybqaKgLbbGEANCKkV4AaABAg,@bucetaboa-y4b,Giro gomes,0,2024-03-17T15:43:05Z
UgxLQwlkL-PuR3dycTB4AaABAg,@bucetaboa-y4b,Felipe ralo,0,2024-03-17T15:42:53Z
Ugw6v1CN96M7AYkyINZ4AaABAg,@bucetaboa-y4b,Soraya vai tomar banho 🧼🚿 vai tronik de roupa,0,2024-03-17T15:42:40Z
UgwHVKGnHS0NdGZRwfR4AaABAg,@bucetaboa-y4b,Soraya vai tomar banho 🧼🚿 vai tronik de roupa,0,2024-03-17T15:42:29Z
UgyZ_mcMiaKBQIw6sDl4AaABAg,@bucetaboa-y4b,O melhor debate foi oprimeiro  do segundo turno,0,2024-03-17T15:32:25Z
UgzoynwKsp6L06C_9KB4AaABAg,@bucetaboa-y4b,Bolsonaro é o pior,0,2024-03-17T02:04:22Z
Ugw9ZLpdCdCn3m_rdZF4AaABAg,@bucetaboa-y4b,Lula é o melhor,0,2024-03-17T02:04:07Z
UgzUqaXHd3NEx9F5BqF4AaABAg,@bucetaboa-y4b,Felipe davila soraia e simone são muito fracos,0,2024-03-17T02:03:49Z
Ugw3PTFk5-lqaehws9B4AaABAg,@osvaldoires8071,"A petrobrás é um capítulo da História Brasil e pouco se ver os interesses obscuros de particulares tentando ocultar suas motivações todos se parecer atentos no fio da miada ao ponto que quem se dá bem ñ é aquele que puxa mas aquele q pega o rolo, ninguém é bobo nem mesmo Lula que é o mais esperto de todos por ser discriminado nordestino pobre e ñ faz as coisas por fazer ou porque estudou mas por necessidade de demonstrar que ele ñ é burro como todos acham",0,2024-02-08T19:00:58Z
UgwUx_CLjuQjORSMED14AaABAg,@osvaldoires8071,Quem fala do que ñ sabe do que ñ fez nem tentou fazer prega desinformação,0,2024-02-08T18:48:45Z
Ugzs_PawvWFyyHFwk1l4AaABAg,@gilsonsantos8912,Depois desse dia até hoje tá o Bozo procurando o cú que ainda se encontra desaparecido após a enrabada do Lula 🤩,0,2024-01-25T00:44:11Z
UgyjT0bZFwTM_zQL4mx4AaABAg,@ian_silva_o_proprio,22/01/2024 👀,1,2024-01-23T01:39:03Z
Ugyi9VZ0MNP-t_mXjSZ4AaABAg,@nayrongoncalves6250,""" eu vou perguntar pra candidata Simone Step""... . kkkkkklk",3,2023-12-02T03:45:24Z
Ugzmt-RmG1LModQs0SB4AaABAg,@Affonsonetojunior1,"Eu e meu pessoal  NÃO gostamos do Bolsonaro. Aliás, a maioria dos Brasileiros 🙏",0,2023-11-04T00:17:58Z
Ugz-RT9IfZZKENCW3Jd4AaABAg,@selnermonteiro635,"Melhor debate que ja assistir, totalmente imparcial.",1,2023-09-23T20:59:02Z
UgzUXMdBNBTs9pDjtl94AaABAg,@Lukas.ambrozio,Bolsonaro ❤❤❤,3,2023-09-12T19:25:11Z
UgzkfB8rQcu-lGKTeE14AaABAg,@whyweclashhgggg,MDS um ano já,1,2023-08-28T03:34:40Z
UgzqQmv6AjXN5Me0q_p4AaABAg,@marcoantoniomarcoantonio7666,vk,0,2023-07-24T00:07:01Z
UgxajT_LUJjgnfB_fTh4AaABAg,@haaaaland-123,"Já se passaram 10 meses... Jajá chega a próxima ""eleição"".",0,2023-07-10T18:46:13Z
UgylayNbgylWCO4T_gN4AaABAg,@josewilson____,2:59:40,4,2023-06-30T22:48:10Z
Ugyg-H1zkUc4lTKvqzp4AaABAg,@luizeduardo-opato1186,Isso aqui foi o melhor filme de comédia da história.,0,2023-06-12T01:11:21Z
Ugx0sxaSlccmX6UUp9d4AaABAg,@Felipe-viana,2:12:28 kqkkqkq,1,2023-05-20T07:28:29Z
UgyLn5qepSfanWiwzj94AaABAg,@pabloricardo9233,Eu aqui vendo meu lulinha falar kkkk. 2023,1,2023-03-04T21:01:58Z
UgwpzbNHMqpMdcwRYMB4AaABAg,@mariahelenasilva8463,Parabenizo a Band pela eloquência de perguntas.,1,2023-01-30T19:19:45Z
Ugw_Izq0S0SuGsLbcZx4AaABAg,@vitoriasousa5299,02:12 bolsonaro acabando com a Vera 😮,3,2023-01-21T00:21:56Z
Ugw6gSQtR24n45XSOfF4AaABAg,@resumindocomalu,"Simone: ""eu não vi o presidente pegar a moto dele e entrar no hospital pra ir abraçar uma mãe"" 
Eu ri demais kkkkkkkkkk
Se ele fizesse isso ia ser acusado de matar o povo do hospital atropelado 😂😂",5,2022-12-22T05:09:46Z
UgyY5CutiagUG45GHlZ4AaABAg,@raykar3050,"Não sou bolsominion nem em sonho, mas Bolsonaro deveria tomar essa postura no último debate da globo no 2° turno. Ele ficou meio infantilizado e os argumentos eram 10x piores.",4,2022-12-22T02:06:50Z
Ugz7c7DioFFoOB9h_Ud4AaABAg,@jessykt,Debate histórico!,6,2022-12-18T14:10:34Z
UgwnxUgrIbnEk3VA8Rh4AaABAg,@Athos1508,Esse Bolsonaro é fraco demais,2,2022-12-07T05:14:27Z
Ugzw1G8BuE4I2ryLyGt4AaABAg,@gabiguima956,Essa música parece de anime antigo tipo em neon genesis evangelion kkkkkkk,0,2022-12-06T20:51:28Z
UgyYmGwiyc6M76KnrSl4AaABAg,@antoniomonteiro5692,"B

zhbbbbbbbbbbbbbbbb",0,2022-12-02T22:07:43Z
Ugy2uAPLNYvS2_YK9q14AaABAg,@patriota2522,o Bolsonaro foi uma dos melhores presidentes do Brasil,7,2022-11-29T23:34:22Z
UgycoBDa36IE-BTi_Ex4AaABAg,@lucischroeder9407,"Eu moro em Joinville e acho a pior cidade do país. Só vem gente que não presta de fora, forasteiros, a qualidade de serviços e produts é das piores, a cidade mais cara do país em impostos e cesta básica e o prefeito Adriano Silva até hoje não fez nada pela cidade. Dá pra entender: bolsonarista, malandro, colaborador dos cariocas. Tudo que se produz aqui vai pra capital e pro gpverno federal. Felipe Dávila, por favor, vá estudar e deixar de ser mentiroso que nem o teu candidato Bolsonaro que ganhou em 2018 mentindo para o povo ou fraudando as urnas porque em 2018 Bolsonaro não duvidou das urnas eletrônicas mas dois anos depois  duvidou pq Lula seria candidato a presidência do Brasil.",1,2022-11-28T14:28:47Z
UgzsFl3OFOyywm3yIcd4AaABAg,@antoniocarvalho3154,e omelhor  jornal,1,2022-11-22T21:39:15Z
UgzhH1Vo5vF6C7gnK-N4AaABAg,@elocyomae4367,Asséptico direcionado 🤢,0,2022-11-18T02:43:32Z
UgzrzIAOWiPDrq2UX-J4AaABAg,@renanrths,2:09:01 Momentos antes da desgraça acontecer,2,2022-11-17T23:51:48Z
UgwlLXETtVVL8ehRGlB4AaABAg,@gabivava350,22 🇧🇷💚🤍💙💛,1,2022-11-14T13:46:02Z
UgyC-x5h-RE9cuT0xEx4AaABAg,@DouglasSilva-wo9ow,Ciro falou tudo,0,2022-11-06T09:24:52Z
UgzxcLGHNK41BBoIFVF4AaABAg,@DouglasSilva-wo9ow,"Parabéns Band o debate foi espetacular. Uma grande emissora que respeitou o debate e não ficou puxando saco de ninguém como a globo fez com o lula, dando a ele prioridades",0,2022-11-06T09:11:49Z
Ugy_PKuQUwxZdJjitfp4AaABAg,@gabriel.forato,"9:41 “Aqui, da sala-de-jantar…” KKKKKKKKKKKKKK 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",0,2022-11-04T04:56:21Z
Ugxqa648S0gMP9I3NnV4AaABAg,@thiagodomiciano2774,"ELEIÇÕES mais SUJAS da HISTÓRIA

O LADRÃO NÃO VAI ASSUMIR",1,2022-11-03T02:56:21Z
UgxLv-j43fWG-dxgauF4AaABAg,@paulohenriqueoliveira8239,esta é para o Covarde do dathena ve se pare de ser Ridiculo covarde vocé fala groço atraz das cameras de uma emisora que sempre mamou nas tetas do governo federal por isso vocés estão contra o Presidente Bolsonaro bando de golpistas vocés da velha inprensa e do stf São farinhas do mesmo Saco acharam mesmo que irião enganar a população com falsa democrasia? vocé devia criar vergonha na cara por sempre esconder a verdade do povo e divulgar noticias falsaz desconstestualizadas agora o povo não vai mais acreditar nesta velha e ridicula inprensa,0,2022-11-01T21:14:09Z
UgwuLEgImUn68RiJMJB4AaABAg,@JeanCarlos-ln4hw,Um forte abraço,0,2022-11-01T14:07:03Z
UgySKIjsqQ7iI53o-vh4AaABAg,@Mobilemotoxj6,"Chegamos ao final de uma das mais importantes eleições da nossa história. Uma eleição que colocou frente a frente dois projetos opostos de país. E que hoje tem um único e grande vencedor: o povo brasileiro.""",3,2022-11-01T06:55:10Z
UgxCocPfE54GPAT-5o54AaABAg,@hellenluciasiqueirapereira1207,Quero ver vocês serem sensurando pelo Lula vai sentir na pele o que os Bolsonaristas estão passando,1,2022-10-31T01:03:09Z
UgzgRRjZrXWKSvI7uJp4AaABAg,@carlosmunari6984,"Parabéns, Band .",0,2022-10-30T22:03:50Z
Ugw-flJjY_9CwYBzHhx4AaABAg,@AlexSilva-qm1jc,VT nu i deau,0,2022-10-29T07:14:14Z
Ugw55GKMJSIWgo7c7cV4AaABAg,@AlexSilva-qm1jc,Comu vc lula sabia que vc ia preso pra bs ser eleito,1,2022-10-29T07:10:20Z
Ugz9VUz64reEUzD6ufB4AaABAg,@cleageralda9887,O que jamais fazem lei o plano de armamento e estou um bandido não vai agredir pois pode morre apoio o nosso presidente bocionario deus abençoe vocês povo de deus e abençoe a cada criança tá nascendo eles nenhum tocarão nos desastres naturais que há no mundo inteiro só falam só e dinheiro do que o presidente teria que dá conta em 4 anos o que .eles deixaram e isto povo amado de deus durmam em paz na certeza de que    (22) só ele vai salva nossos filhos netos,1,2022-10-29T03:35:27Z
UgxdIgN_U_CwSbosM_Z4AaABAg,@cleageralda9887,Olha aí a palavra negro O fascismo impera,1,2022-10-29T03:26:30Z
Ugy45kM_G_hRr_iY7N14AaABAg,@cleageralda9887,E no meio do povo ele lutou doente e esfaqueado mas nem deus  agradou a todos olha as o nosso presidente não presiza de tá doente enfrentando uma presid Ed ntes ele faz para ajuda os humildes,1,2022-10-29T03:23:40Z
Ugzb_NRGnF8EbtJq7ed4AaABAg,@cleageralda9887,Será que o problema era doenças que já tinha um mão que começou mata na Itália os estados unidos e o Brasil conseguiu as vacinas e terminar junto e não foi só o Brasil que perdemos  as  as pessoas que dói até hoge não só pra me mais pra muitos que perdemos o presidente bocionario nao tinha tempo pra ir nos velório hospitais ele em não trabalha  tempo certeza que ele sentiu se ele não deu a todos os estados o dinheiro para fazer hospitais e core com o auxílio e corre pra salva o Brasil isto ninguém vê,0,2022-10-29T03:18:54Z
UgzvI-GI08svTD3uf8V4AaABAg,@cleageralda9887,E o que disse palavras toda vida agente vê esse rosário de safadeza que eu já e muitos milhões das pessoas  deus tenha piedade de nós humanos 🙏,1,2022-10-29T03:04:38Z
UgwnqFctSdq1d4jnEu94AaABAg,@cleageralda9887,Vocês estão vendo um puxado de lavadeira e jardineiros com seus acho as dos certa  lavando suas roupas  em frente a um país inteiro estou e o lixo deles mesmo emguanto os humilde estão neste momento decepcionados ao ver essa patifaria que eles amanhã tem que levanta pra trabalha comendo da volta deste passado temos grandes jovem capacitado para toca  esse  país pra isto bocionario tem que pó o país melhor do que ista bagaceira que o passado nunca mais volte se deus guizer,1,2022-10-29T03:01:05Z
UgxO9kmx3zFhGOwANEJ4AaABAg,@isistaimanterapeuta,Vem 22,0,2022-10-29T02:53:16Z
UgxUv8ZlcNluIsYUMul4AaABAg,@isistaimanterapeuta,lula não chora não sua camisa vai virar pano de chão :yougotthis:,1,2022-10-29T02:53:03Z
Ugw5XrLdv6NDNvtNaLp4AaABAg,@cleageralda9887,Igual a você Simone terabyte falaria e que não tem vergonha na cara nunca ganhará uma presidência antes que eu u morra será no fim d as gestão de presidente bocionario se deus guizer nem você nem esses petestas aproveitadores gente falca corupitos desonesto tudo que eles fazem eu quero vê m Ed us netos bem garantido,0,2022-10-29T02:50:38Z
UgzPC4Lank5ebHE5zL54AaABAg,@armandobonisoni8120,Que pouca vergonha este debate...isto tinha que acabar o povo não mais bobo....uma decepção,0,2022-10-29T02:46:52Z
UgzTUCuigEHL6TbbRZN4AaABAg,@cleageralda9887,Só pesso a deus que o ódio que vimos nos olhos dos candidatos não se compara com a paz do presidente bocionario pois ele tem deus e não pois a região no meio da política eu penso que presidente bocionario e o único que respeita deus e os mais humildes pois e e humano e sabe o que e sofrimento tanto que foi esfaqueado e deus o salvou pois ele tem amor deus o guarde e nos proteja amém 🙏,0,2022-10-29T02:41:41Z
Ugy5MjOj4D0dip3BsFB4AaABAg,@irmalola1512,"Band,  parabéns pelo debate. 2️⃣2️⃣🇧🇷🇧🇷🇧🇷2️⃣2️⃣✅",0,2022-10-29T02:35:37Z
Ugx3WT5hhy4N4hfSHpp4AaABAg,@cleageralda9887,Povo amado de Deus ninguém destes que tá aí nunca esteve junto do povo e não se quer um oi da  queremos um Brasil igual para todos deus pátria família  ajuda deus 🙏,0,2022-10-29T02:32:14Z
UgzxjDkhoeql6JsKDQ94AaABAg,@miriamfonseca6342,🇧🇷 22,1,2022-10-29T02:29:54Z
UgwCQ7C5u4mSxhBpBRB4AaABAg,@cleageralda9887,A cara desse povo que se diz santo mais só pensão em seus filhos e se passa perto de uma pessoas humilde elas até afasta se tá de carro passa guase em cima de você,0,2022-10-29T02:28:48Z
UgymgOWh3L_Nocl1pyh4AaABAg,@thiagodomiciano2774,"tão querendo até que HOMEM VIRE MULHER

Lula*",0,2022-10-29T02:26:52Z
UgxYIJjIsHXH8_Gj76t4AaABAg,@eneidacabral4600,Nossa como e triste ouvir esse Lula falar. Deus nos livre desse babaca Presidente. Tenha Misericórdia!!!. No governo desse safado ele deu 1% de aumento.,0,2022-10-29T02:26:14Z
UgwFV9r4IoFPnEnkaQF4AaABAg,@adelinapontes9257,Lula lixo e globo lixo,0,2022-10-29T02:24:01Z
Ugy2LnFWpA8NxodU7uB4AaABAg,@silviacandeda8376,Alssilio Brasil de 600 reais com o preço do gás gasolina alimentando cesta básica não tem como alimentar mais prefiro 40 reais e comer comprar o meu gás,0,2022-10-29T02:23:20Z
UgzmajQGHQ9XgIY2m5R4AaABAg,@eneidacabral4600,Ele vai concertar ou terminar de exculhambar o País.,0,2022-10-29T02:22:58Z
Ugw8kBICG3pSkWNxW0d4AaABAg,@silviacandeda8376,Um presidente que tem nojo de pobre continua mentido cuidado povo de deus,0,2022-10-29T02:21:47Z
UgxiHm5KWed_vs4enN54AaABAg,@flaviosouza1885,22,1,2022-10-29T02:20:23Z
UgwHnliADYjyZTAuTpJ4AaABAg,@silviacandeda8376,"Bolsonaro vira ser humano 
VC continua com suas mentira",1,2022-10-29T02:20:04Z
Ugzif2c39F3AcYVwC5B4AaABAg,@silviacandeda8376,"Mais esse bolsonaro joga sujo educada 0 
Engraçado ele e o pai da mentira mesmo",0,2022-10-29T02:19:32Z
Ugw88B9MWv3IezzUITV4AaABAg,@henriquebarreto7973,"Esse presidiário , criminoso ladrão é muito cínico  . é uma vergonha no Brasil ter um candidato criminoso concorrido a eleição presidencial .",0,2022-10-29T02:18:57Z
UgyaqJr7a4wfZY8A0kp4AaABAg,@CEZINHA260,22 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0,2022-10-29T02:12:30Z
Ugxc871XjcUOloYrA9B4AaABAg,@danielspario,"*Você inocente Lula? Só se foi o Bonner que te absolveu.*

*Na cara não presidente!* 😂😂😂",0,2022-10-29T02:11:06Z
Ugx342C2_iJtIMPcia54AaABAg,@mariafreitas8284,Realmente jornalismo da Globo de baixo nível,0,2022-10-29T02:08:56Z
UgwjQIT8JLV6goJoD8R4AaABAg,@moniboopcast,22,0,2022-10-29T02:05:05Z
UgwD6eE6UKZA_KKP6Sd4AaABAg,@marcianeoliveira4918,Esse lula é velho asqueroso mesmo e mentiroso,0,2022-10-29T02:02:14Z
UgxvPXUe0av1O0hGBrd4AaABAg,@valdireneperreira8184,Imbecil rato tem que ficar e no esgoto...covid e mundial,0,2022-10-29T01:56:47Z
UgzdHpZxMuOYYEqAmph4AaABAg,@valdireneperreira8184,Rato não.deu explicação dos médicos cubanos..salário.12 mil 8500 pra Cuba....o rato questiona ambulância...,0,2022-10-29T01:56:00Z
Ugxe0BwvyOhQw4qSRyt4AaABAg,@marilynmoraes3641,"É injusto falar de pandemia quem não era  Errou tudo bm acerta seus erros ,minha irmã que mora em mmanaus o povo de lá não quiseram longdow ,Eu trabalhei na época do Lula o salário teve o aumento de 30,00 reais por ano quando sai o aumento estava em 49 ,00 por ano No governo Bolssonaro o congresso aumentou uma porcentagem bm maior 220,00 isso foi demais para mim.okay .",0,2022-10-29T01:54:27Z
UgzWlapkmpgvp0CdtIh4AaABAg,@marilynmoraes3641,"Tenho minha  opinião própria  esse presidente Lula já  esteve no poder por 2 mandatos sem problemas de pandemia que foi surpreza para o mundo global .
SURPRISE .",0,2022-10-29T01:49:15Z
UgwxVA_cuguSwu7SzMt4AaABAg,@michelebove6474,Falsos cristãos...roubam e enganam milhões se dizendo pessoas de bem. Bolsonaro não respeita nenhuma religião e destruiu a paz na minha igreja.,0,2022-10-29T01:49:08Z
UgyBd1kHBpsNx3_vXXZ4AaABAg,@cleageralda9887,Juro meu deus tem que seu filho presiza manter nosso presidente bocionario deus o senhor levou 7 dias pra construir o mundo inteiro agora um homem com toda guera ele vem lutando povo de deus não facão a besteira deste passado que continua,0,2022-10-29T01:48:27Z
UgzA5X94xFUg6PdZNft4AaABAg,@wr-representacao.6760,22,0,2022-10-29T01:46:28Z
UgyJiaFZpJBAyKwijT54AaABAg,@cleageralda9887,Devem ter vergonha da medo de vê o antigo Brasil onde avia muitos sofrimentos humanos sem um palavreado destes porcos que só pensão com suas famílias e deus não manda uma bomba ali presidente bocionario responde o que ele viu nas favelas comunidades por todo lugar que ele viu de frente os problemas que exeste esse sim sabe e tem dó do ser humano que não vive esnobando por aí bocionario  conhece    o sofrimento a falta e não ter deus olha nosso presidente bocionario seu filho Jair Mecias bocionario eles acham que só educação e importante moradia não e importante alimentação não e importante meu deus disse o senhor nada há de falta até os passarinhos tem a roupa e o alimento o presidente bocionario em 4 anos tinha que deram ouro para destes vigaristas,0,2022-10-29T01:44:43Z
UgxU-edTD3C_JK3Jp0d4AaABAg,@vivianejulita40,PARAIBA NORDESTINA BOLSONARO SIM SENHOR😎🤠💚💛💙🤍2️⃣2️⃣✅🇧🇷,0,2022-10-29T01:42:11Z
Ugyfg6_BqY5I2kcjVDp4AaABAg,@yure8131,BOLSONARO 22 🇧🇷,0,2022-10-29T01:36:39Z
Ugwdhb0brAdbpHkYc3B4AaABAg,@rosahelenamonteirocaetano88,Na Band valeu mais aqui não tá com nada essa Globo 👎👎,0,2022-10-29T01:34:12Z
UgwCjdVAtIMEPaTXLPF4AaABAg,@cleageralda9887,Povo de deus eu em todo debate entre presidentes deportados e sou capas de falar tudo que esses porcos miseráveis falam e o Memo que reza missa a repetição pelo amor de Deus faz até mal ouvindo esses petestas pois aí tá o presidente sozinho e que tem a preucupacoes do povo essas mulheres paresce a Dilma parecem a Dilma são mulheres que deveria volta a escola pra conhecer o Brasil o que o Brasil os brasileiros gente hipócrita que não muda não melhora os conhecimento,0,2022-10-29T01:33:25Z
UgwJB8bo2C5Oqy8MzaF4AaABAg,@silka8096,"O debate está ótimo, Bolsonaro dando maior surra no outro , o tal do L",0,2022-10-29T01:31:20Z
