id,autor,comentario,likes,data,num_caracteres,num_palavras,dia,comentario_limpo
Ugyr4Aw6LNoUyFHifuh4AaABAg,@uemersonSilva-y7z,Voltei aqui pra olhar todas as promessas e mentiras do ex presidiário lula,1,2025-02-24 02:50:28+00:00,74,13,2025-02-24,voltei aqui pra olhar todas as promessas e mentiras do ex presidiário lula
UgzO_UfjsZx3hhdWvFN4AaABAg,@mec420,"O boules é o futuro lule, observem os gestos e o jeito de falar, continuem escolhendo Barrabás.",1,2024-10-06 03:17:35+00:00,95,17,2024-10-06,"o boules é o futuro lule, observem os gestos e o jeito de falar, continuem escolhendo barrabás."
UgxfDXpxAyyDDrN2pdd4AaABAg,@mec420,É engraçado voltar aqui e assistir essa piada..,1,2024-10-06 03:11:29+00:00,47,8,2024-10-06,é engraçado voltar aqui e assistir essa piada.
UgwTD8z0O6Zl_uxXeKR4AaABAg,@beatrizpironi3466,Quem sao os mediadores?,0,2024-07-01 15:29:19+00:00,23,4,2024-07-01,quem sao os mediadores?
UgzwizHXvoxiXYAHHlN4AaABAg,@LatrellSpencerSincero,Voltando aqui 2 anos depois ( Desgoverno B4NDID0 ) para falar que estamos mais FUDIDOS do que kenga velha,7,2024-06-06 16:18:22+00:00,105,19,2024-06-06,voltando aqui 2 anos depois ( desgoverno b4ndid0 ) para falar que estamos mais fudidos do que kenga velha
Ugzk2t9t0YHfgwWTgXB4AaABAg,@GabrielLucas-gp1rs,"Vim do futuro pra dizer que o governo Lula 3 é um desastre, um governo rejeitado em mais de 50% em quatro regiões do Brasil. A picanha virou abóbora, o arroz de 5kg está em R$ 45, azeite de Oliva em R$ 80, pacote de feijão R$ 18, óleo de soja R$ 19, Gasolina a R$ 6,89, mais de 8 milhões de famílias pobres cortadas do bolsa família, cortes nas verbas da saúde, educação e programa sociais, volta do imposto sindical, volta do DPVAT, volta da interferência política na Petrobrás, sigilo de 100 anos nas viagens de Lula e Janja, recordes na liberação de emendas parlamentares ao Centrão, aumento no número de queimadas e desmatamento na Amazônia e no cerrado, aumento no número de mortes dos povos Yanomamis, aumento de 85% nos casos de feminicidios, aumento da homofobia, surto de dengue, omissão e desrespeito dos seus ministros e do seu governo na tragédia do RS, impostos altíssimos, taxação de sites de compras onlines, caos na segurança pública, greve dos professores, redução do poder de compra da população etc... tudo que o Lula acusou o Bolsonaro nesse debate, quem está fazendo, e está fazendo pior, é o seu governo. A única coisa boa que podemos extrair desse governo, é o fortalecimento da direita bolsonarista.",11,2024-05-04 02:40:23+00:00,1223,213,2024-05-04,"vim do futuro pra dizer que o governo lula 3 é um desastre, um governo rejeitado em mais de 50% em quatro regiões do brasil. a picanha virou abóbora, o arroz de 5kg está em r$ 45, azeite de oliva em r$ 80, pacote de feijão r$ 18, óleo de soja r$ 19, gasolina a r$ 6,89, mais de 8 milhões de famílias pobres cortadas do bolsa família, cortes nas verbas da saúde, educação e programa sociais, volta do imposto sindical, volta do dpvat, volta da interferência política na petrobrás, sigilo de 100 anos nas viagens de lula e janja, recordes na liberação de emendas parlamentares ao centrão, aumento no número de queimadas e desmatamento na amazônia e no cerrado, aumento no número de mortes dos povos yanomamis, aumento de 85% nos casos de feminicidios, aumento da homofobia, surto de dengue, omissão e desrespeito dos seus ministros e do seu governo na tragédia do rs, impostos altíssimos, taxação de sites de compras onlines, caos na segurança pública, greve dos professores, redução do poder de compra da população etc. tudo que o lula acusou o bolsonaro nesse debate, quem está fazendo, e está fazendo pior, é o seu governo. a única coisa boa que podemos extrair desse governo, é o fortalecimento da direita bolsonarista."
UgxNO94jMvzzPmLuj8t4AaABAg,@joaopaulopereiradearruda9223,Ehh eu gosto de debate e de política,0,2024-04-29 15:43:28+00:00,36,8,2024-04-29,ehh eu gosto de debate e de política
UgzfsOnafUgI_j9LBrN4AaABAg,@joaopaulopereiradearruda9223,Simone linda 2026,0,2024-04-28 22:39:16+00:00,17,3,2024-04-28,simone linda 2026
UgxReg8oLaTQc2iUBFJ4AaABAg,@gaara1234mm,"Melhor debate político da TV é o da BANDEIRANTES, totalmente necessário e dinamico, parabéns por sempre estar proporcionando essa qualidade",1,2024-04-22 17:12:25+00:00,139,20,2024-04-22,"melhor debate político da tv é o da bandeirantes, totalmente necessário e dinamico, parabéns por sempre estar proporcionando essa qualidade"
UgzfziXKOY7_TOL2s894AaABAg,@bucetaboa-y4b,Bolsonaro vc brochou no final do debate na uol,0,2024-03-17 19:23:18+00:00,46,9,2024-03-17,bolsonaro vc brochou no final do debate na uol
UgzpYztp4fmnLuYHSu14AaABAg,@bucetaboa-y4b,Soreia tiro nica,1,2024-03-17 19:03:12+00:00,16,3,2024-03-17,soreia tiro nica
Ugx9uBWa9Oho4MAlwg94AaABAg,@bucetaboa-y4b,Parabéns band pelos debates,1,2024-03-17 15:44:26+00:00,27,4,2024-03-17,parabéns band pelos debates
UgybW0_sxJ867-qo4L14AaABAg,@bucetaboa-y4b,Parabéns tébete por apoiar o presidente lula,0,2024-03-17 15:43:33+00:00,44,7,2024-03-17,parabéns tébete por apoiar o presidente lula
Ugw6v1CN96M7AYkyINZ4AaABAg,@bucetaboa-y4b,Soraya vai tomar banho 🧼🚿 vai tronik de roupa,0,2024-03-17 15:42:40+00:00,45,9,2024-03-17,soraya vai tomar banho 🧼🚿 vai tronik de roupa
UgwHVKGnHS0NdGZRwfR4AaABAg,@bucetaboa-y4b,Soraya vai tomar banho 🧼🚿 vai tronik de roupa,0,2024-03-17 15:42:29+00:00,45,9,2024-03-17,soraya vai tomar banho 🧼🚿 vai tronik de roupa
UgyZ_mcMiaKBQIw6sDl4AaABAg,@bucetaboa-y4b,O melhor debate foi oprimeiro  do segundo turno,0,2024-03-17 15:32:25+00:00,47,8,2024-03-17,o melhor debate foi oprimeiro do segundo turno
UgzoynwKsp6L06C_9KB4AaABAg,@bucetaboa-y4b,Bolsonaro é o pior,0,2024-03-17 02:04:22+00:00,18,4,2024-03-17,bolsonaro é o pior
Ugw9ZLpdCdCn3m_rdZF4AaABAg,@bucetaboa-y4b,Lula é o melhor,0,2024-03-17 02:04:07+00:00,15,4,2024-03-17,lula é o melhor
UgzUqaXHd3NEx9F5BqF4AaABAg,@bucetaboa-y4b,Felipe davila soraia e simone são muito fracos,0,2024-03-17 02:03:49+00:00,46,8,2024-03-17,felipe davila soraia e simone são muito fracos
Ugw3PTFk5-lqaehws9B4AaABAg,@osvaldoires8071,"A petrobrás é um capítulo da História Brasil e pouco se ver os interesses obscuros de particulares tentando ocultar suas motivações todos se parecer atentos no fio da miada ao ponto que quem se dá bem ñ é aquele que puxa mas aquele q pega o rolo, ninguém é bobo nem mesmo Lula que é o mais esperto de todos por ser discriminado nordestino pobre e ñ faz as coisas por fazer ou porque estudou mas por necessidade de demonstrar que ele ñ é burro como todos acham",0,2024-02-08 19:00:58+00:00,459,88,2024-02-08,"a petrobrás é um capítulo da história brasil e pouco se ver os interesses obscuros de particulares tentando ocultar suas motivações todos se parecer atentos no fio da miada ao ponto que quem se dá bem ñ é aquele que puxa mas aquele q pega o rolo, ninguém é bobo nem mesmo lula que é o mais esperto de todos por ser discriminado nordestino pobre e ñ faz as coisas por fazer ou porque estudou mas por necessidade de demonstrar que ele ñ é burro como todos acham"
UgwUx_CLjuQjORSMED14AaABAg,@osvaldoires8071,Quem fala do que ñ sabe do que ñ fez nem tentou fazer prega desinformação,0,2024-02-08 18:48:45+00:00,73,15,2024-02-08,quem fala do que ñ sabe do que ñ fez nem tentou fazer prega desinformação
Ugzs_PawvWFyyHFwk1l4AaABAg,@gilsonsantos8912,Depois desse dia até hoje tá o Bozo procurando o cú que ainda se encontra desaparecido após a enrabada do Lula 🤩,0,2024-01-25 00:44:11+00:00,112,22,2024-01-25,depois desse dia até hoje tá o bozo procurando o cú que ainda se encontra desaparecido após a enrabada do lula 🤩
Ugyi9VZ0MNP-t_mXjSZ4AaABAg,@nayrongoncalves6250,""" eu vou perguntar pra candidata Simone Step""... . kkkkkklk",3,2023-12-02 03:45:24+00:00,59,10,2023-12-02,""" eu vou perguntar pra candidata simone step"". . kkkkkklk"
Ugzmt-RmG1LModQs0SB4AaABAg,@Affonsonetojunior1,"Eu e meu pessoal  NÃO gostamos do Bolsonaro. Aliás, a maioria dos Brasileiros 🙏",0,2023-11-04 00:17:58+00:00,79,14,2023-11-04,"eu e meu pessoal não gostamos do bolsonaro. aliás, a maioria dos brasileiros 🙏"
Ugz-RT9IfZZKENCW3Jd4AaABAg,@selnermonteiro635,"Melhor debate que ja assistir, totalmente imparcial.",1,2023-09-23 20:59:02+00:00,52,7,2023-09-23,"melhor debate que ja assistir, totalmente imparcial."
UgzkfB8rQcu-lGKTeE14AaABAg,@whyweclashhgggg,MDS um ano já,1,2023-08-28 03:34:40+00:00,13,4,2023-08-28,mds um ano já
UgxajT_LUJjgnfB_fTh4AaABAg,@haaaaland-123,"Já se passaram 10 meses... Jajá chega a próxima ""eleição"".",0,2023-07-10 18:46:13+00:00,58,10,2023-07-10,"já se passaram 10 meses. jajá chega a próxima ""eleição""."
Ugyg-H1zkUc4lTKvqzp4AaABAg,@luizeduardo-opato1186,Isso aqui foi o melhor filme de comédia da história.,0,2023-06-12 01:11:21+00:00,52,10,2023-06-12,isso aqui foi o melhor filme de comédia da história.
UgyLn5qepSfanWiwzj94AaABAg,@pabloricardo9233,Eu aqui vendo meu lulinha falar kkkk. 2023,1,2023-03-04 21:01:58+00:00,42,8,2023-03-04,eu aqui vendo meu lulinha falar kkkk. 2023
UgwpzbNHMqpMdcwRYMB4AaABAg,@mariahelenasilva8463,Parabenizo a Band pela eloquência de perguntas.,1,2023-01-30 19:19:45+00:00,47,7,2023-01-30,parabenizo a band pela eloquência de perguntas.
Ugw_Izq0S0SuGsLbcZx4AaABAg,@vitoriasousa5299,02:12 bolsonaro acabando com a Vera 😮,3,2023-01-21 00:21:56+00:00,37,7,2023-01-21,02:12 bolsonaro acabando com a vera 😮
Ugw6gSQtR24n45XSOfF4AaABAg,@resumindocomalu,"Simone: ""eu não vi o presidente pegar a moto dele e entrar no hospital pra ir abraçar uma mãe"" 
Eu ri demais kkkkkkkkkk
Se ele fizesse isso ia ser acusado de matar o povo do hospital atropelado 😂😂",5,2022-12-22 05:09:46+00:00,196,38,2022-12-22,"simone: ""eu não vi o presidente pegar a moto dele e entrar no hospital pra ir abraçar uma mãe"" eu ri demais kkkkkkkkkk se ele fizesse isso ia ser acusado de matar o povo do hospital atropelado 😂😂"
UgyY5CutiagUG45GHlZ4AaABAg,@raykar3050,"Não sou bolsominion nem em sonho, mas Bolsonaro deveria tomar essa postura no último debate da globo no 2° turno. Ele ficou meio infantilizado e os argumentos eram 10x piores.",4,2022-12-22 02:06:50+00:00,175,30,2022-12-22,"não sou bolsominion nem em sonho, mas bolsonaro deveria tomar essa postura no último debate da globo no 2° turno. ele ficou meio infantilizado e os argumentos eram 10x piores."
UgwnxUgrIbnEk3VA8Rh4AaABAg,@Athos1508,Esse Bolsonaro é fraco demais,2,2022-12-07 05:14:27+00:00,29,5,2022-12-07,esse bolsonaro é fraco demais
Ugzw1G8BuE4I2ryLyGt4AaABAg,@gabiguima956,Essa música parece de anime antigo tipo em neon genesis evangelion kkkkkkk,0,2022-12-06 20:51:28+00:00,74,12,2022-12-06,essa música parece de anime antigo tipo em neon genesis evangelion kkkkkkk
Ugy2uAPLNYvS2_YK9q14AaABAg,@patriota2522,o Bolsonaro foi uma dos melhores presidentes do Brasil,7,2022-11-29 23:34:22+00:00,54,9,2022-11-29,o bolsonaro foi uma dos melhores presidentes do brasil
UgycoBDa36IE-BTi_Ex4AaABAg,@lucischroeder9407,"Eu moro em Joinville e acho a pior cidade do país. Só vem gente que não presta de fora, forasteiros, a qualidade de serviços e produts é das piores, a cidade mais cara do país em impostos e cesta básica e o prefeito Adriano Silva até hoje não fez nada pela cidade. Dá pra entender: bolsonarista, malandro, colaborador dos cariocas. Tudo que se produz aqui vai pra capital e pro gpverno federal. Felipe Dávila, por favor, vá estudar e deixar de ser mentiroso que nem o teu candidato Bolsonaro que ganhou em 2018 mentindo para o povo ou fraudando as urnas porque em 2018 Bolsonaro não duvidou das urnas eletrônicas mas dois anos depois  duvidou pq Lula seria candidato a presidência do Brasil.",1,2022-11-28 14:28:47+00:00,691,123,2022-11-28,"eu moro em joinville e acho a pior cidade do país. só vem gente que não presta de fora, forasteiros, a qualidade de serviços e produts é das piores, a cidade mais cara do país em impostos e cesta básica e o prefeito adriano silva até hoje não fez nada pela cidade. dá pra entender: bolsonarista, malandro, colaborador dos cariocas. tudo que se produz aqui vai pra capital e pro gpverno federal. felipe dávila, por favor, vá estudar e deixar de ser mentiroso que nem o teu candidato bolsonaro que ganhou em 2018 mentindo para o povo ou fraudando as urnas porque em 2018 bolsonaro não duvidou das urnas eletrônicas mas dois anos depois duvidou pq lula seria candidato a presidência do brasil."
UgzsFl3OFOyywm3yIcd4AaABAg,@antoniocarvalho3154,e omelhor  jornal,1,2022-11-22 21:39:15+00:00,17,3,2022-11-22,e omelhor jornal
UgzhH1Vo5vF6C7gnK-N4AaABAg,@elocyomae4367,Asséptico direcionado 🤢,0,2022-11-18 02:43:32+00:00,23,3,2022-11-18,asséptico direcionado 🤢
UgzrzIAOWiPDrq2UX-J4AaABAg,@renanrths,2:09:01 Momentos antes da desgraça acontecer,2,2022-11-17 23:51:48+00:00,44,6,2022-11-17,2:09:01 momentos antes da desgraça acontecer
UgyC-x5h-RE9cuT0xEx4AaABAg,@DouglasSilva-wo9ow,Ciro falou tudo,0,2022-11-06 09:24:52+00:00,15,3,2022-11-06,ciro falou tudo
UgzxcLGHNK41BBoIFVF4AaABAg,@DouglasSilva-wo9ow,"Parabéns Band o debate foi espetacular. Uma grande emissora que respeitou o debate e não ficou puxando saco de ninguém como a globo fez com o lula, dando a ele prioridades",0,2022-11-06 09:11:49+00:00,171,31,2022-11-06,"parabéns band o debate foi espetacular. uma grande emissora que respeitou o debate e não ficou puxando saco de ninguém como a globo fez com o lula, dando a ele prioridades"
Ugy_PKuQUwxZdJjitfp4AaABAg,@gabriel.forato,"9:41 “Aqui, da sala-de-jantar…” KKKKKKKKKKKKKK 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",0,2022-11-04 04:56:21+00:00,59,6,2022-11-04,"9:41 “aqui, da sala-de-jantar…” kkkkkkkkkkkkkk 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣"
Ugxqa648S0gMP9I3NnV4AaABAg,@thiagodomiciano2774,"ELEIÇÕES mais SUJAS da HISTÓRIA

O LADRÃO NÃO VAI ASSUMIR",1,2022-11-03 02:56:21+00:00,57,10,2022-11-03,eleições mais sujas da história o ladrão não vai assumir
UgxLv-j43fWG-dxgauF4AaABAg,@paulohenriqueoliveira8239,esta é para o Covarde do dathena ve se pare de ser Ridiculo covarde vocé fala groço atraz das cameras de uma emisora que sempre mamou nas tetas do governo federal por isso vocés estão contra o Presidente Bolsonaro bando de golpistas vocés da velha inprensa e do stf São farinhas do mesmo Saco acharam mesmo que irião enganar a população com falsa democrasia? vocé devia criar vergonha na cara por sempre esconder a verdade do povo e divulgar noticias falsaz desconstestualizadas agora o povo não vai mais acreditar nesta velha e ridicula inprensa,0,2022-11-01 21:14:09+00:00,546,94,2022-11-01,esta é para o covarde do dathena ve se pare de ser ridiculo covarde vocé fala groço atraz das cameras de uma emisora que sempre mamou nas tetas do governo federal por isso vocés estão contra o presidente bolsonaro bando de golpistas vocés da velha inprensa e do stf são farinhas do mesmo saco acharam mesmo que irião enganar a população com falsa democrasia? vocé devia criar vergonha na cara por sempre esconder a verdade do povo e divulgar noticias falsaz desconstestualizadas agora o povo não vai mais acreditar nesta velha e ridicula inprensa
UgwuLEgImUn68RiJMJB4AaABAg,@JeanCarlos-ln4hw,Um forte abraço,0,2022-11-01 14:07:03+00:00,15,3,2022-11-01,um forte abraço
UgySKIjsqQ7iI53o-vh4AaABAg,@Mobilemotoxj6,"Chegamos ao final de uma das mais importantes eleições da nossa história. Uma eleição que colocou frente a frente dois projetos opostos de país. E que hoje tem um único e grande vencedor: o povo brasileiro.""",3,2022-11-01 06:55:10+00:00,207,36,2022-11-01,"chegamos ao final de uma das mais importantes eleições da nossa história. uma eleição que colocou frente a frente dois projetos opostos de país. e que hoje tem um único e grande vencedor: o povo brasileiro."""
UgxCocPfE54GPAT-5o54AaABAg,@hellenluciasiqueirapereira1207,Quero ver vocês serem sensurando pelo Lula vai sentir na pele o que os Bolsonaristas estão passando,1,2022-10-31 01:03:09+00:00,99,17,2022-10-31,quero ver vocês serem sensurando pelo lula vai sentir na pele o que os bolsonaristas estão passando
UgzgRRjZrXWKSvI7uJp4AaABAg,@carlosmunari6984,"Parabéns, Band .",0,2022-10-30 22:03:50+00:00,16,3,2022-10-30,"parabéns, band ."
Ugw-flJjY_9CwYBzHhx4AaABAg,@AlexSilva-qm1jc,VT nu i deau,0,2022-10-29 07:14:14+00:00,12,4,2022-10-29,vt nu i deau
Ugw55GKMJSIWgo7c7cV4AaABAg,@AlexSilva-qm1jc,Comu vc lula sabia que vc ia preso pra bs ser eleito,1,2022-10-29 07:10:20+00:00,52,12,2022-10-29,comu vc lula sabia que vc ia preso pra bs ser eleito
Ugz9VUz64reEUzD6ufB4AaABAg,@cleageralda9887,O que jamais fazem lei o plano de armamento e estou um bandido não vai agredir pois pode morre apoio o nosso presidente bocionario deus abençoe vocês povo de deus e abençoe a cada criança tá nascendo eles nenhum tocarão nos desastres naturais que há no mundo inteiro só falam só e dinheiro do que o presidente teria que dá conta em 4 anos o que .eles deixaram e isto povo amado de deus durmam em paz na certeza de que    (22) só ele vai salva nossos filhos netos,1,2022-10-29 03:35:27+00:00,462,89,2022-10-29,o que jamais fazem lei o plano de armamento e estou um bandido não vai agredir pois pode morre apoio o nosso presidente bocionario deus abençoe vocês povo de deus e abençoe a cada criança tá nascendo eles nenhum tocarão nos desastres naturais que há no mundo inteiro só falam só e dinheiro do que o presidente teria que dá conta em 4 anos o que .eles deixaram e isto povo amado de deus durmam em paz na certeza de que (22) só ele vai salva nossos filhos netos
UgxdIgN_U_CwSbosM_Z4AaABAg,@cleageralda9887,Olha aí a palavra negro O fascismo impera,1,2022-10-29 03:26:30+00:00,41,8,2022-10-29,olha aí a palavra negro o fascismo impera
Ugy45kM_G_hRr_iY7N14AaABAg,@cleageralda9887,E no meio do povo ele lutou doente e esfaqueado mas nem deus  agradou a todos olha as o nosso presidente não presiza de tá doente enfrentando uma presid Ed ntes ele faz para ajuda os humildes,1,2022-10-29 03:23:40+00:00,191,37,2022-10-29,e no meio do povo ele lutou doente e esfaqueado mas nem deus agradou a todos olha as o nosso presidente não presiza de tá doente enfrentando uma presid ed ntes ele faz para ajuda os humildes
Ugzb_NRGnF8EbtJq7ed4AaABAg,@cleageralda9887,Será que o problema era doenças que já tinha um mão que começou mata na Itália os estados unidos e o Brasil conseguiu as vacinas e terminar junto e não foi só o Brasil que perdemos  as  as pessoas que dói até hoge não só pra me mais pra muitos que perdemos o presidente bocionario nao tinha tempo pra ir nos velório hospitais ele em não trabalha  tempo certeza que ele sentiu se ele não deu a todos os estados o dinheiro para fazer hospitais e core com o auxílio e corre pra salva o Brasil isto ninguém vê,0,2022-10-29 03:18:54+00:00,505,99,2022-10-29,será que o problema era doenças que já tinha um mão que começou mata na itália os estados unidos e o brasil conseguiu as vacinas e terminar junto e não foi só o brasil que perdemos as as pessoas que dói até hoge não só pra me mais pra muitos que perdemos o presidente bocionario nao tinha tempo pra ir nos velório hospitais ele em não trabalha tempo certeza que ele sentiu se ele não deu a todos os estados o dinheiro para fazer hospitais e core com o auxílio e corre pra salva o brasil isto ninguém vê
UgzvI-GI08svTD3uf8V4AaABAg,@cleageralda9887,E o que disse palavras toda vida agente vê esse rosário de safadeza que eu já e muitos milhões das pessoas  deus tenha piedade de nós humanos 🙏,1,2022-10-29 03:04:38+00:00,143,28,2022-10-29,e o que disse palavras toda vida agente vê esse rosário de safadeza que eu já e muitos milhões das pessoas deus tenha piedade de nós humanos 🙏
UgwnqFctSdq1d4jnEu94AaABAg,@cleageralda9887,Vocês estão vendo um puxado de lavadeira e jardineiros com seus acho as dos certa  lavando suas roupas  em frente a um país inteiro estou e o lixo deles mesmo emguanto os humilde estão neste momento decepcionados ao ver essa patifaria que eles amanhã tem que levanta pra trabalha comendo da volta deste passado temos grandes jovem capacitado para toca  esse  país pra isto bocionario tem que pó o país melhor do que ista bagaceira que o passado nunca mais volte se deus guizer,1,2022-10-29 03:01:05+00:00,476,84,2022-10-29,vocês estão vendo um puxado de lavadeira e jardineiros com seus acho as dos certa lavando suas roupas em frente a um país inteiro estou e o lixo deles mesmo emguanto os humilde estão neste momento decepcionados ao ver essa patifaria que eles amanhã tem que levanta pra trabalha comendo da volta deste passado temos grandes jovem capacitado para toca esse país pra isto bocionario tem que pó o país melhor do que ista bagaceira que o passado nunca mais volte se deus guizer
UgxUv8ZlcNluIsYUMul4AaABAg,@isistaimanterapeuta,lula não chora não sua camisa vai virar pano de chão :yougotthis:,1,2022-10-29 02:53:03+00:00,65,12,2022-10-29,lula não chora não sua camisa vai virar pano de chão :yougotthis:
Ugw5XrLdv6NDNvtNaLp4AaABAg,@cleageralda9887,Igual a você Simone terabyte falaria e que não tem vergonha na cara nunca ganhará uma presidência antes que eu u morra será no fim d as gestão de presidente bocionario se deus guizer nem você nem esses petestas aproveitadores gente falca corupitos desonesto tudo que eles fazem eu quero vê m Ed us netos bem garantido,0,2022-10-29 02:50:38+00:00,317,57,2022-10-29,igual a você simone terabyte falaria e que não tem vergonha na cara nunca ganhará uma presidência antes que eu u morra será no fim d as gestão de presidente bocionario se deus guizer nem você nem esses petestas aproveitadores gente falca corupitos desonesto tudo que eles fazem eu quero vê m ed us netos bem garantido
